tech,year,unit,value
KAMPONGCHAMGTS,2016,years,100.0
KAMPOTCPP,2016,years,100.0
KEANSVAY,2016,years,100.0
SIHANOUKVILLECIIDG,2016,years,100.0
SIHANOUKVILLESTUNGHAV,2016,years,100.0
SIHANOUKVILLE,2016,years,100.0
SIHANOUKVILLECOLBEN,2016,years,100.0
KHANDANGKOR,2016,years,100.0
PHUMTRORCPGC,2016,years,100.0
PPSEZPLANT,2016,years,100.0
CENTRALE2,2016,years,100.0
CENTRALE2CUPL,2016,years,100.0
KHANMEANCHAY,2016,years,100.0
CENTRALE3,2016,years,100.0
CENTRALE5,2016,years,100.0
CENTRALE6,2016,years,100.0
KHANRUSSEYKEOCOLBEN,2016,years,100.0
SIEMRIEP,2016,years,100.0
KMCh,2016,years,100.0
KIR1h,2016,years,100.0
KIR3h,2016,years,100.0
LRCh,2016,years,100.0
ATYh,2016,years,100.0
TTYh,2016,years,100.0
Viet,2016,years,100.0
Thai,2016,years,100.0
Salabam,2016,years,100.0
